"","Appointment_Date","Appointment_Count","Weekday","MonthYear","Month","patients","all_patients","ratio_patients"
"376",2019-01-11,9857,"Friday","2019-01","01",0,0,0
"377",2019-01-12,356,"Saturday","2019-01","01",0,0,0
"378",2019-01-13,13,"Sunday","2019-01","01",0,0,0
"379",2019-01-14,10939,"Monday","2019-01","01",0,0,0
"380",2019-01-15,10048,"Tuesday","2019-01","01",0,0,0
"381",2019-01-16,9610,"Wednesday","2019-01","01",0,0,0
"382",2019-01-17,8312,"Thursday","2019-01","01",0,0,0
"383",2019-01-18,9553,"Friday","2019-01","01",0,0,0
"384",2019-01-19,270,"Saturday","2019-01","01",0,0,0
"385",2019-01-20,1,"Sunday","2019-01","01",0,0,0
"386",2019-01-21,10926,"Monday","2019-01","01",0,0,0
"387",2019-01-22,9829,"Tuesday","2019-01","01",0,0,0
"388",2019-01-23,7538,"Wednesday","2019-01","01",0,0,0
"389",2019-01-24,7171,"Thursday","2019-01","01",0,0,0
"390",2019-01-25,9573,"Friday","2019-01","01",0,0,0
"391",2019-01-26,181,"Saturday","2019-01","01",0,0,0
"392",2019-01-27,13,"Sunday","2019-01","01",0,0,0
"393",2019-01-28,10771,"Monday","2019-01","01",0,0,0
"394",2019-01-29,9882,"Tuesday","2019-01","01",0,0,0
"395",2019-01-30,9648,"Wednesday","2019-01","01",0,0,0
"396",2019-01-31,8354,"Thursday","2019-01","01",0,0,0
"397",2019-02-01,9721,"Friday","2019-02","02",0,0,0
"398",2019-02-02,364,"Saturday","2019-02","02",0,0,0
"399",2019-02-03,7,"Sunday","2019-02","02",0,0,0
"400",2019-02-04,11268,"Monday","2019-02","02",0,0,0
"401",2019-02-05,9920,"Tuesday","2019-02","02",0,0,0
"402",2019-02-06,9796,"Wednesday","2019-02","02",0,0,0
"403",2019-02-07,8758,"Thursday","2019-02","02",0,0,0
"404",2019-02-08,9790,"Friday","2019-02","02",0,0,0
"405",2019-02-09,311,"Saturday","2019-02","02",0,0,0
"406",2019-02-10,4,"Sunday","2019-02","02",0,0,0
"407",2019-02-11,11226,"Monday","2019-02","02",0,0,0
"408",2019-02-12,9923,"Tuesday","2019-02","02",0,0,0
"409",2019-02-13,9841,"Wednesday","2019-02","02",0,0,0
"410",2019-02-14,7731,"Thursday","2019-02","02",0,0,0
"411",2019-02-15,9785,"Friday","2019-02","02",0,0,0
"412",2019-02-16,223,"Saturday","2019-02","02",0,0,0
"413",2019-02-17,13,"Sunday","2019-02","02",0,0,0
"414",2019-02-18,10216,"Monday","2019-02","02",0,0,0
"415",2019-02-19,9204,"Tuesday","2019-02","02",0,0,0
"416",2019-02-20,9003,"Wednesday","2019-02","02",0,0,0
"417",2019-02-21,8040,"Thursday","2019-02","02",0,0,0
"418",2019-02-22,9018,"Friday","2019-02","02",0,0,0
"419",2019-02-23,218,"Saturday","2019-02","02",0,0,0
"420",2019-02-24,13,"Sunday","2019-02","02",0,0,0
"421",2019-02-25,11006,"Monday","2019-02","02",0,0,0
"422",2019-02-26,9600,"Tuesday","2019-02","02",0,0,0
"423",2019-02-27,7650,"Wednesday","2019-02","02",0,0,0
"424",2019-02-28,8725,"Thursday","2019-02","02",0,0,0
"425",2019-03-01,9534,"Friday","2019-03","03",0,0,0
"426",2019-03-02,289,"Saturday","2019-03","03",0,0,0
"427",2019-03-03,1,"Sunday","2019-03","03",0,0,0
"428",2019-03-04,11163,"Monday","2019-03","03",0,0,0
"429",2019-03-05,9757,"Tuesday","2019-03","03",0,0,0
"430",2019-03-06,9581,"Wednesday","2019-03","03",0,0,0
"431",2019-03-07,8473,"Thursday","2019-03","03",0,0,0
"432",2019-03-08,9569,"Friday","2019-03","03",0,0,0
"433",2019-03-09,268,"Saturday","2019-03","03",0,0,0
