COMMISSIONER_ORGANISATION_CODE,STPCD,REGIONAL_LOCAL_OFFICE_CODE,REGION_CODE,Appointment_Month,Included Practices,Open Practices,Patients registered at included practices,Patients registered at open practices
00Y,E54000007,E39000037,E40000010,01APR2019,41,43,242382,258307
00Y,E54000007,E39000037,E40000010,01MAY2019,41,43,242672,258585
00Y,E54000007,E39000037,E40000010,01JUN2019,41,43,242983,258881
00Y,E54000007,E39000037,E40000010,01JUL2019,41,43,243283,259146
00Y,E54000007,E39000037,E40000010,01AUG2019,41,43,243564,259383
01A,E54000048,E39000040,E40000010,01MAR2018,50,57,323659,381483
01A,E54000048,E39000040,E40000010,01APR2018,50,57,323905,381783
01A,E54000048,E39000040,E40000010,01MAY2018,49,56,324612,382268
01A,E54000048,E39000040,E40000010,01JUN2018,48,56,320633,382535
01A,E54000048,E39000040,E40000010,01JUL2018,48,54,332368,382890
01A,E54000048,E39000040,E40000010,01AUG2018,48,53,333418,383319
01A,E54000048,E39000040,E40000010,01SEP2018,48,53,333611,383602
01A,E54000048,E39000040,E40000010,01OCT2018,48,53,333620,383649
01A,E54000048,E39000040,E40000010,01NOV2018,48,53,333883,383902
01A,E54000048,E39000040,E40000010,01DEC2018,48,53,334103,384139
01A,E54000048,E39000040,E40000010,01JAN2019,48,53,334189,384219
01A,E54000048,E39000040,E40000010,01FEB2019,51,53,359841,384569
01A,E54000048,E39000040,E40000010,01MAR2019,51,53,360046,384831
01A,E54000048,E39000040,E40000010,01APR2019,51,53,360190,385064
01A,E54000048,E39000040,E40000010,01MAY2019,49,52,355915,385489
01A,E54000048,E39000040,E40000010,01JUN2019,49,51,360946,385886
01A,E54000048,E39000040,E40000010,01JUL2019,49,51,361386,386358
01A,E54000048,E39000040,E40000010,01AUG2019,49,51,361728,386758
01C,E54000008,E39000026,E40000010,01MAR2018,22,24,197770,208260
01C,E54000008,E39000026,E40000010,01APR2018,22,24,197785,208303
01C,E54000008,E39000026,E40000010,01MAY2018,22,24,197990,208544
01C,E54000008,E39000026,E40000010,01JUN2018,22,24,198145,208736
01C,E54000008,E39000026,E40000010,01JUL2018,22,24,198309,208944
01C,E54000008,E39000026,E40000010,01AUG2018,22,24,198457,209119
01C,E54000008,E39000026,E40000010,01SEP2018,22,24,198653,209352
01C,E54000008,E39000026,E40000010,01OCT2018,22,24,198591,209327
01C,E54000008,E39000026,E40000010,01NOV2018,22,24,198544,209297
01C,E54000008,E39000026,E40000010,01DEC2018,22,24,198642,209395
01C,E54000008,E39000026,E40000010,01JAN2019,22,24,198738,209515
01C,E54000008,E39000026,E40000010,01FEB2019,22,24,198873,209672
01C,E54000008,E39000026,E40000010,01MAR2019,22,24,198892,209713
01C,E54000008,E39000026,E40000010,01APR2019,22,24,198935,209785
01C,E54000008,E39000026,E40000010,01MAY2019,19,21,176694,187592
01C,E54000008,E39000026,E40000010,01JUN2019,19,21,176855,187772
01C,E54000008,E39000026,E40000010,01JUL2019,19,21,187671,198615
01C,E54000008,E39000026,E40000010,01AUG2019,19,21,199626,210623
01D,E54000007,E39000037,E40000010,01MAR2018,34,41,228012,233125
01D,E54000007,E39000037,E40000010,01APR2018,35,41,230888,233290
01D,E54000007,E39000037,E40000010,01MAY2018,35,41,231095,233480
01D,E54000007,E39000037,E40000010,01JUN2018,35,41,231452,233839
01D,E54000007,E39000037,E40000010,01JUL2018,35,41,231644,234021
01D,E54000007,E39000037,E40000010,01AUG2018,35,41,231990,234357
01D,E54000007,E39000037,E40000010,01SEP2018,35,41,232308,234673
01D,E54000007,E39000037,E40000010,01OCT2018,35,41,232324,234671
01D,E54000007,E39000037,E40000010,01NOV2018,35,41,232570,234907
01D,E54000007,E39000037,E40000010,01DEC2018,35,41,232808,235151
01D,E54000007,E39000037,E40000010,01JAN2019,35,41,232961,235303
01D,E54000007,E39000037,E40000010,01FEB2019,36,41,235584,235584
01D,E54000007,E39000037,E40000010,01MAR2019,36,41,235797,235797
01D,E54000007,E39000037,E40000010,01APR2019,36,41,236012,236012
01D,E54000007,E39000037,E40000010,01MAY2019,36,41,236211,236211
01D,E54000007,E39000037,E40000010,01JUN2019,36,41,236510,236510
01D,E54000007,E39000037,E40000010,01JUL2019,36,41,236767,236767
01D,E54000007,E39000037,E40000010,01AUG2019,36,41,236922,236922
01E,E54000048,E39000040,E40000010,01MAR2018,23,29,165326,209215
01E,E54000048,E39000040,E40000010,01APR2018,24,28,172980,209377
01E,E54000048,E39000040,E40000010,01MAY2018,24,28,172724,209100
01E,E54000048,E39000040,E40000010,01JUN2018,24,28,172662,209095
01E,E54000048,E39000040,E40000010,01JUL2018,23,26,170853,207327
01E,E54000048,E39000040,E40000010,01AUG2018,23,25,170757,207314
01E,E54000048,E39000040,E40000010,01SEP2018,23,25,170813,207427
01E,E54000048,E39000040,E40000010,01OCT2018,22,25,169843,208408
01E,E54000048,E39000040,E40000010,01NOV2018,22,24,170145,208666
01E,E54000048,E39000040,E40000010,01DEC2018,22,24,170412,208916
01E,E54000048,E39000040,E40000010,01JAN2019,22,24,170355,208896
01E,E54000048,E39000040,E40000010,01FEB2019,22,24,170594,209162
01E,E54000048,E39000040,E40000010,01MAR2019,22,24,172337,210967
01E,E54000048,E39000040,E40000010,01APR2019,22,24,172183,210851
01E,E54000048,E39000040,E40000010,01MAY2019,21,24,170156,210735
01E,E54000048,E39000040,E40000010,01JUN2019,21,23,172082,210838
01E,E54000048,E39000040,E40000010,01JUL2019,22,23,180301,210861
01E,E54000048,E39000040,E40000010,01AUG2019,22,23,179959,210557
01F,E54000008,E39000026,E40000010,01MAR2018,14,14,131112,131112
01F,E54000008,E39000026,E40000010,01APR2018,14,14,131206,131206
01F,E54000008,E39000026,E40000010,01MAY2018,14,14,131384,131384
01F,E54000008,E39000026,E40000010,01JUN2018,14,14,131523,131523
01F,E54000008,E39000026,E40000010,01JUL2018,14,14,131601,131601
01F,E54000008,E39000026,E40000010,01AUG2018,14,14,131772,131772
01F,E54000008,E39000026,E40000010,01SEP2018,14,14,131950,131950
01F,E54000008,E39000026,E40000010,01OCT2018,14,14,132024,132024
01F,E54000008,E39000026,E40000010,01NOV2018,14,14,132064,132064
01F,E54000008,E39000026,E40000010,01DEC2018,14,14,132128,132128
01F,E54000008,E39000026,E40000010,01JAN2019,14,14,132195,132195
01F,E54000008,E39000026,E40000010,01FEB2019,14,14,132287,132287
01F,E54000008,E39000026,E40000010,01MAR2019,14,14,132391,132391
01F,E54000008,E39000026,E40000010,01APR2019,14,14,132554,132554
01F,E54000008,E39000026,E40000010,01MAY2019,14,14,132676,132676
01F,E54000008,E39000026,E40000010,01JUN2019,14,14,132739,132739
01F,E54000008,E39000026,E40000010,01JUL2019,14,14,132828,132828
01F,E54000008,E39000026,E40000010,01AUG2019,14,14,132888,132888
01G,E54000007,E39000037,E40000010,01MAR2018,36,45,194485,272601
01G,E54000007,E39000037,E40000010,01APR2018,36,45,194554,272631
01G,E54000007,E39000037,E40000010,01MAY2018,37,45,207814,273210
01G,E54000007,E39000037,E40000010,01JUN2018,38,45,210112,273433
01G,E54000007,E39000037,E40000010,01JUL2018,39,45,222484,273638
01G,E54000007,E39000037,E40000010,01AUG2018,39,45,222673,273797
01G,E54000007,E39000037,E40000010,01SEP2018,39,45,223223,274318
01G,E54000007,E39000037,E40000010,01OCT2018,39,45,223735,275614
01G,E54000007,E39000037,E40000010,01NOV2018,39,45,224273,276335
01G,E54000007,E39000037,E40000010,01DEC2018,39,45,224816,277144
01G,E54000007,E39000037,E40000010,01JAN2019,39,45,225074,277439
01G,E54000007,E39000037,E40000010,01FEB2019,39,45,225546,278028
01G,E54000007,E39000037,E40000010,01MAR2019,39,45,225987,278588
01G,E54000007,E39000037,E40000010,01APR2019,39,45,226299,278949
01G,E54000007,E39000037,E40000010,01MAY2019,39,45,226544,279235
01G,E54000007,E39000037,E40000010,01JUN2019,38,45,222604,279279
01G,E54000007,E39000037,E40000010,01JUL2019,38,45,231173,279772
01G,E54000007,E39000037,E40000010,01AUG2019,38,44,233718,280113
01H,E54000049,E39000047,E40000009,01MAR2018,38,40,305072,323812
01H,E54000049,E39000047,E40000009,01APR2018,39,40,319018,323943
01H,E54000049,E39000047,E40000009,01MAY2018,39,40,319243,324162
01H,E54000049,E39000047,E40000009,01JUN2018,39,40,319289,324215
01H,E54000049,E39000047,E40000009,01JUL2018,39,40,319425,324353
01H,E54000049,E39000047,E40000009,01AUG2018,38,40,316653,324619
01H,E54000049,E39000047,E40000009,01SEP2018,38,39,319645,324582
01H,E54000049,E39000047,E40000009,01OCT2018,38,39,319831,324764
01H,E54000049,E39000047,E40000009,01NOV2018,38,39,319983,324918
01H,E54000049,E39000047,E40000009,01DEC2018,38,39,320120,325048
01H,E54000049,E39000047,E40000009,01JAN2019,39,39,325108,325108
01H,E54000049,E39000047,E40000009,01FEB2019,39,39,325162,325162
01H,E54000049,E39000047,E40000009,01MAR2019,39,39,325228,325228
01H,E54000049,E39000047,E40000009,01APR2019,39,39,325298,325298
01H,E54000049,E39000047,E40000009,01MAY2019,39,39,325428,325428
01H,E54000049,E39000047,E40000009,01JUN2019,39,39,325494,325494
01H,E54000049,E39000047,E40000009,01JUL2019,39,39,325685,325685
01H,E54000049,E39000047,E40000009,01AUG2019,39,39,325888,325888
01J,E54000008,E39000026,E40000010,01MAR2018,25,25,164901,164901
01J,E54000008,E39000026,E40000010,01APR2018,25,25,165042,165042
01J,E54000008,E39000026,E40000010,01MAY2018,25,25,165228,165228
01J,E54000008,E39000026,E40000010,01JUN2018,25,25,165352,165352
01J,E54000008,E39000026,E40000010,01JUL2018,25,25,165456,165456
01J,E54000008,E39000026,E40000010,01AUG2018,25,25,165657,165657
01J,E54000008,E39000026,E40000010,01SEP2018,25,25,165780,165780
01J,E54000008,E39000026,E40000010,01OCT2018,25,25,165909,165909
